Pays;Arrivées;Nuitées;Année.mois;Région
Autriche;4;13;01.08.2021;Château-d'Oex-Rougemont-Rossini
Belgique;26;50;01.08.2021;Château-d'Oex-Rougemont-Rossini
Brésil;2;2;01.08.2021;Château-d'Oex-Rougemont-Rossini
Canada;7;9;01.08.2021;Château-d'Oex-Rougemont-Rossini
Chili;2;2;01.08.2021;Château-d'Oex-Rougemont-Rossini
Chine (sans Hongkong);3;3;01.08.2021;Château-d'Oex-Rougemont-Rossini
Danemark;3;6;01.08.2021;Château-d'Oex-Rougemont-Rossini
Emirats Arabes Unis;10;16;01.08.2021;Château-d'Oex-Rougemont-Rossini
Espagne;7;12;01.08.2021;Château-d'Oex-Rougemont-Rossini
Etats-Unis d'Amérique;24;44;01.08.2021;Château-d'Oex-Rougemont-Rossini
Finlande;1;2;01.08.2021;Château-d'Oex-Rougemont-Rossini
France;234;509;01.08.2021;Château-d'Oex-Rougemont-Rossini
Grèce;2;12;01.08.2021;Château-d'Oex-Rougemont-Rossini
Inde;2;4;01.08.2021;Château-d'Oex-Rougemont-Rossini
Indonésie;1;2;01.08.2021;Château-d'Oex-Rougemont-Rossini
Iran (Perse);;;01.08.2021;Château-d'Oex-Rougemont-Rossini
Islande;;;01.08.2021;Château-d'Oex-Rougemont-Rossini
Israël;1;6;01.08.2021;Château-d'Oex-Rougemont-Rossini
Italie;38;94;01.08.2021;Château-d'Oex-Rougemont-Rossini
Koweït;1;2;01.08.2021;Château-d'Oex-Rougemont-Rossini
Liechtenstein;3;4;01.08.2021;Château-d'Oex-Rougemont-Rossini
Luxembourg;13;24;01.08.2021;Château-d'Oex-Rougemont-Rossini
Nouvelle-Zélande, Océanie;1;3;01.08.2021;Château-d'Oex-Rougemont-Rossini
Pays-Bas;18;51;01.08.2021;Château-d'Oex-Rougemont-Rossini
Pologne;1;1;01.08.2021;Château-d'Oex-Rougemont-Rossini
Portugal;4;4;01.08.2021;Château-d'Oex-Rougemont-Rossini
Qatar;1;1;01.08.2021;Château-d'Oex-Rougemont-Rossini
République de Corée;;;01.08.2021;Château-d'Oex-Rougemont-Rossini
République tchèque;4;6;01.08.2021;Château-d'Oex-Rougemont-Rossini
Roumanie;3;3;01.08.2021;Château-d'Oex-Rougemont-Rossini
Royaume-Uni;3;11;01.08.2021;Château-d'Oex-Rougemont-Rossini
Russie;3;9;01.08.2021;Château-d'Oex-Rougemont-Rossini
Slovénie;;;01.08.2021;Château-d'Oex-Rougemont-Rossini
Suède;1;1;01.08.2021;Château-d'Oex-Rougemont-Rossini
Suisse;2018;3630;01.08.2021;Château-d'Oex-Rougemont-Rossini
Ukraine;2;4;01.08.2021;Château-d'Oex-Rougemont-Rossini
Allemagne;2;2;01.08.2021;Echallens et env.
Belgique;2;2;01.08.2021;Echallens et env.
Espagne;3;12;01.08.2021;Echallens et env.
France;2;34;01.08.2021;Echallens et env.
Italie;2;4;01.08.2021;Echallens et env.
Pays-Bas;4;4;01.08.2021;Echallens et env.
Portugal;;;01.08.2021;Echallens et env.
République tchèque;1;31;01.08.2021;Echallens et env.
Royaume-Uni;;;01.08.2021;Echallens et env.
Suisse;9;75;01.08.2021;Echallens et env.
Afrique du Sud;20;59;01.08.2021;Lausanne agglo.
Allemagne;3108;6674;01.08.2021;Lausanne agglo.
Arabie Saoudite;151;498;01.08.2021;Lausanne agglo.
Argentine;24;65;01.08.2021;Lausanne agglo.
Australie;18;88;01.08.2021;Lausanne agglo.
Autres Afrique;84;243;01.08.2021;Lausanne agglo.
Autres Afrique du Nord;50;249;01.08.2021;Lausanne agglo.
Autres Amérique centrale, Caraïbes;45;128;01.08.2021;Lausanne agglo.
Autres Amérique du Sud;43;60;01.08.2021;Lausanne agglo.
Autres Asie de l'Est;46;219;01.08.2021;Lausanne agglo.
Autres Asie de l'Ouest;47;123;01.08.2021;Lausanne agglo.
Autres Europe;74;158;01.08.2021;Lausanne agglo.
Autriche;306;547;01.08.2021;Lausanne agglo.
Bahreïn;8;16;01.08.2021;Lausanne agglo.
Belgique;1053;2369;01.08.2021;Lausanne agglo.
Biélorussie;18;44;01.08.2021;Lausanne agglo.
Brésil;231;577;01.08.2021;Lausanne agglo.
Bulgarie;47;93;01.08.2021;Lausanne agglo.
Canada;98;310;01.08.2021;Lausanne agglo.
Chili;15;30;01.08.2021;Lausanne agglo.
Chine (sans Hongkong);73;183;01.08.2021;Lausanne agglo.
Chine (Taiwan);20;43;01.08.2021;Lausanne agglo.
Chypre;31;65;01.08.2021;Lausanne agglo.
Croatie;18;31;01.08.2021;Lausanne agglo.
Danemark;98;250;01.08.2021;Lausanne agglo.
Egypte;29;83;01.08.2021;Lausanne agglo.
Emirats Arabes Unis;433;1244;01.08.2021;Lausanne agglo.
Espagne;913;1879;01.08.2021;Lausanne agglo.
Estonie;18;43;01.08.2021;Lausanne agglo.
Etats-Unis d'Amérique;1893;4447;01.08.2021;Lausanne agglo.
Finlande;15;33;01.08.2021;Lausanne agglo.
France;8023;15533;01.08.2021;Lausanne agglo.
Grèce;229;527;01.08.2021;Lausanne agglo.
Hongkong;30;59;01.08.2021;Lausanne agglo.
Hongrie;49;104;01.08.2021;Lausanne agglo.
Inde;51;164;01.08.2021;Lausanne agglo.
Indonésie;3;3;01.08.2021;Lausanne agglo.
Iran (Perse);;;01.08.2021;Lausanne agglo.
Irlande (Eire);52;149;01.08.2021;Lausanne agglo.
Islande;11;65;01.08.2021;Lausanne agglo.
Israël;104;283;01.08.2021;Lausanne agglo.
Italie;1583;3518;01.08.2021;Lausanne agglo.
Japon;33;102;01.08.2021;Lausanne agglo.
Koweït;42;284;01.08.2021;Lausanne agglo.
Lettonie;18;50;01.08.2021;Lausanne agglo.
Liechtenstein;45;80;01.08.2021;Lausanne agglo.
Lituanie;38;129;01.08.2021;Lausanne agglo.
Luxembourg;218;517;01.08.2021;Lausanne agglo.
Malaisie;9;23;01.08.2021;Lausanne agglo.
Malte;20;64;01.08.2021;Lausanne agglo.
Mexique;70;148;01.08.2021;Lausanne agglo.
Norvège;42;106;01.08.2021;Lausanne agglo.
Nouvelle-Zélande, Océanie;10;19;01.08.2021;Lausanne agglo.
Oman;24;47;01.08.2021;Lausanne agglo.
Pays-Bas;1109;2371;01.08.2021;Lausanne agglo.
Philippines;3;5;01.08.2021;Lausanne agglo.
Pologne;174;496;01.08.2021;Lausanne agglo.
Portugal;187;527;01.08.2021;Lausanne agglo.
Qatar;51;159;01.08.2021;Lausanne agglo.
République de Corée;17;24;01.08.2021;Lausanne agglo.
République tchèque;135;311;01.08.2021;Lausanne agglo.
Roumanie;206;560;01.08.2021;Lausanne agglo.
Royaume-Uni;672;1589;01.08.2021;Lausanne agglo.
Russie;245;676;01.08.2021;Lausanne agglo.
Serbie;14;43;01.08.2021;Lausanne agglo.
Singapour;18;38;01.08.2021;Lausanne agglo.
Slovaquie;35;138;01.08.2021;Lausanne agglo.
Slovénie;18;37;01.08.2021;Lausanne agglo.
Suède;76;253;01.08.2021;Lausanne agglo.
Suisse;25374;48351;01.08.2021;Lausanne agglo.
Thaïlande;32;51;01.08.2021;Lausanne agglo.
Turquie;43;77;01.08.2021;Lausanne agglo.
Ukraine;61;176;01.08.2021;Lausanne agglo.
Afrique du Sud;10;16;01.08.2021;Montreux Riviera
Allemagne;2367;5487;01.08.2021;Montreux Riviera
Arabie Saoudite;511;1805;01.08.2021;Montreux Riviera
Argentine;6;19;01.08.2021;Montreux Riviera
Australie;13;36;01.08.2021;Montreux Riviera
Autres Afrique;88;368;01.08.2021;Montreux Riviera
Autres Afrique du Nord;21;81;01.08.2021;Montreux Riviera
Autres Amérique centrale, Caraïbes;13;36;01.08.2021;Montreux Riviera
Autres Amérique du Sud;11;27;01.08.2021;Montreux Riviera
Autres Asie de l'Est;42;86;01.08.2021;Montreux Riviera
Autres Asie de l'Ouest;18;35;01.08.2021;Montreux Riviera
Autres Europe;83;219;01.08.2021;Montreux Riviera
Autriche;203;364;01.08.2021;Montreux Riviera
Bahreïn;17;62;01.08.2021;Montreux Riviera
Belgique;591;1281;01.08.2021;Montreux Riviera
Biélorussie;5;7;01.08.2021;Montreux Riviera
Brésil;147;286;01.08.2021;Montreux Riviera
Bulgarie;15;45;01.08.2021;Montreux Riviera
Canada;75;142;01.08.2021;Montreux Riviera
Chili;5;6;01.08.2021;Montreux Riviera
Chine (sans Hongkong);104;226;01.08.2021;Montreux Riviera
Chypre;22;70;01.08.2021;Montreux Riviera
Croatie;4;8;01.08.2021;Montreux Riviera
Danemark;54;126;01.08.2021;Montreux Riviera
Egypte;8;20;01.08.2021;Montreux Riviera
Emirats Arabes Unis;1085;3517;01.08.2021;Montreux Riviera
Espagne;248;449;01.08.2021;Montreux Riviera
Estonie;16;25;01.08.2021;Montreux Riviera
Etats-Unis d'Amérique;1349;3287;01.08.2021;Montreux Riviera
Finlande;16;21;01.08.2021;Montreux Riviera
France;4519;8872;01.08.2021;Montreux Riviera
Grèce;19;56;01.08.2021;Montreux Riviera
Hongkong;10;24;01.08.2021;Montreux Riviera
Hongrie;30;62;01.08.2021;Montreux Riviera
Inde;117;302;01.08.2021;Montreux Riviera
Indonésie;2;3;01.08.2021;Montreux Riviera
Irlande (Eire);34;58;01.08.2021;Montreux Riviera
Islande;7;7;01.08.2021;Montreux Riviera
Israël;87;176;01.08.2021;Montreux Riviera
Italie;690;1444;01.08.2021;Montreux Riviera
Japon;30;62;01.08.2021;Montreux Riviera
Koweït;128;701;01.08.2021;Montreux Riviera
Lettonie;5;19;01.08.2021;Montreux Riviera
Liechtenstein;32;95;01.08.2021;Montreux Riviera
Lituanie;11;19;01.08.2021;Montreux Riviera
Luxembourg;111;367;01.08.2021;Montreux Riviera
Malaisie;3;3;01.08.2021;Montreux Riviera
Malte;6;17;01.08.2021;Montreux Riviera
Mexique;61;127;01.08.2021;Montreux Riviera
Norvège;9;15;01.08.2021;Montreux Riviera
Nouvelle-Zélande, Océanie;3;11;01.08.2021;Montreux Riviera
Oman;2;4;01.08.2021;Montreux Riviera
Pays-Bas;833;1667;01.08.2021;Montreux Riviera
Philippines;6;12;01.08.2021;Montreux Riviera
Pologne;115;257;01.08.2021;Montreux Riviera
Portugal;72;170;01.08.2021;Montreux Riviera
Qatar;63;374;01.08.2021;Montreux Riviera
République de Corée;8;46;01.08.2021;Montreux Riviera
République tchèque;133;261;01.08.2021;Montreux Riviera
Roumanie;78;155;01.08.2021;Montreux Riviera
Royaume-Uni;576;1227;01.08.2021;Montreux Riviera
Russie;125;309;01.08.2021;Montreux Riviera
Serbie;7;7;01.08.2021;Montreux Riviera
Singapour;15;36;01.08.2021;Montreux Riviera
Slovaquie;12;32;01.08.2021;Montreux Riviera
Slovénie;11;13;01.08.2021;Montreux Riviera
Suède;34;84;01.08.2021;Montreux Riviera
Suisse;24380;48790;01.08.2021;Montreux Riviera
Thaïlande;18;47;01.08.2021;Montreux Riviera
Turquie;6;8;01.08.2021;Montreux Riviera
Ukraine;55;131;01.08.2021;Montreux Riviera
Allemagne;234;425;01.08.2021;Morges et env.
Arabie Saoudite;5;35;01.08.2021;Morges et env.
Argentine;1;1;01.08.2021;Morges et env.
Australie;1;1;01.08.2021;Morges et env.
Autres Afrique;1;31;01.08.2021;Morges et env.
Autres Afrique du Nord;2;74;01.08.2021;Morges et env.
Autres Amérique centrale, Caraïbes;;;01.08.2021;Morges et env.
Autres Amérique du Sud;1;3;01.08.2021;Morges et env.
Autres Asie de l'Est;2;4;01.08.2021;Morges et env.
Autres Asie de l'Ouest;2;4;01.08.2021;Morges et env.
Autres Europe;226;456;01.08.2021;Morges et env.
Autriche;21;33;01.08.2021;Morges et env.
Belgique;40;100;01.08.2021;Morges et env.
Brésil;4;30;01.08.2021;Morges et env.
Bulgarie;;;01.08.2021;Morges et env.
Canada;9;17;01.08.2021;Morges et env.
Chine (sans Hongkong);2;4;01.08.2021;Morges et env.
Danemark;13;34;01.08.2021;Morges et env.
Emirats Arabes Unis;0;15;01.08.2021;Morges et env.
Espagne;35;104;01.08.2021;Morges et env.
Etats-Unis d'Amérique;26;73;01.08.2021;Morges et env.
France;370;717;01.08.2021;Morges et env.
Grèce;;;01.08.2021;Morges et env.
Hongrie;2;2;01.08.2021;Morges et env.
Irlande (Eire);;;01.08.2021;Morges et env.
Israël;8;44;01.08.2021;Morges et env.
Italie;81;162;01.08.2021;Morges et env.
Japon;2;6;01.08.2021;Morges et env.
Koweït;2;12;01.08.2021;Morges et env.
Liechtenstein;4;6;01.08.2021;Morges et env.
Lituanie;2;2;01.08.2021;Morges et env.
Luxembourg;25;70;01.08.2021;Morges et env.
Mexique;3;6;01.08.2021;Morges et env.
Pays-Bas;62;121;01.08.2021;Morges et env.
Philippines;1;1;01.08.2021;Morges et env.
Pologne;2;2;01.08.2021;Morges et env.
Portugal;9;14;01.08.2021;Morges et env.
République de Corée;2;4;01.08.2021;Morges et env.
République tchèque;2;3;01.08.2021;Morges et env.
Roumanie;1;8;01.08.2021;Morges et env.
Royaume-Uni;37;226;01.08.2021;Morges et env.
Russie;6;7;01.08.2021;Morges et env.
Serbie;1;3;01.08.2021;Morges et env.
Slovaquie;4;9;01.08.2021;Morges et env.
Slovénie;1;3;01.08.2021;Morges et env.
Suède;1;3;01.08.2021;Morges et env.
Suisse;2754;4798;01.08.2021;Morges et env.
Turquie;2;4;01.08.2021;Morges et env.
Ukraine;5;5;01.08.2021;Morges et env.
Allemagne;44;54;01.08.2021;Moudon et env.
Belgique;;;01.08.2021;Moudon et env.
Danemark;2;4;01.08.2021;Moudon et env.
Espagne;2;7;01.08.2021;Moudon et env.
France;16;22;01.08.2021;Moudon et env.
Italie;1;1;01.08.2021;Moudon et env.
Liechtenstein;0;2;01.08.2021;Moudon et env.
Malaisie;;;01.08.2021;Moudon et env.
Pays-Bas;8;12;01.08.2021;Moudon et env.
Portugal;5;8;01.08.2021;Moudon et env.
Suède;2;6;01.08.2021;Moudon et env.
Suisse;417;893;01.08.2021;Moudon et env.
Afrique du Sud;3;14;01.08.2021;Nyon-St-Cergue et env.
Allemagne;522;1105;01.08.2021;Nyon-St-Cergue et env.
Arabie Saoudite;60;271;01.08.2021;Nyon-St-Cergue et env.
Argentine;1;14;01.08.2021;Nyon-St-Cergue et env.
Australie;4;7;01.08.2021;Nyon-St-Cergue et env.
Autres Afrique;9;27;01.08.2021;Nyon-St-Cergue et env.
Autres Afrique du Nord;5;36;01.08.2021;Nyon-St-Cergue et env.
Autres Amérique centrale, Caraïbes;2;6;01.08.2021;Nyon-St-Cergue et env.
Autres Amérique du Sud;4;4;01.08.2021;Nyon-St-Cergue et env.
Autres Asie de l'Est;1;1;01.08.2021;Nyon-St-Cergue et env.
Autres Asie de l'Ouest;4;14;01.08.2021;Nyon-St-Cergue et env.
Autres Europe;7;11;01.08.2021;Nyon-St-Cergue et env.
Autriche;42;63;01.08.2021;Nyon-St-Cergue et env.
Bahreïn;1;10;01.08.2021;Nyon-St-Cergue et env.
Belgique;127;301;01.08.2021;Nyon-St-Cergue et env.
Brésil;17;135;01.08.2021;Nyon-St-Cergue et env.
Bulgarie;2;26;01.08.2021;Nyon-St-Cergue et env.
Canada;7;11;01.08.2021;Nyon-St-Cergue et env.
Chili;;;01.08.2021;Nyon-St-Cergue et env.
Chine (sans Hongkong);3;5;01.08.2021;Nyon-St-Cergue et env.
Chypre;1;3;01.08.2021;Nyon-St-Cergue et env.
Croatie;5;13;01.08.2021;Nyon-St-Cergue et env.
Danemark;27;67;01.08.2021;Nyon-St-Cergue et env.
Egypte;1;2;01.08.2021;Nyon-St-Cergue et env.
Emirats Arabes Unis;88;304;01.08.2021;Nyon-St-Cergue et env.
Espagne;71;139;01.08.2021;Nyon-St-Cergue et env.
Estonie;1;4;01.08.2021;Nyon-St-Cergue et env.
Etats-Unis d'Amérique;78;315;01.08.2021;Nyon-St-Cergue et env.
Finlande;4;6;01.08.2021;Nyon-St-Cergue et env.
France;1081;2042;01.08.2021;Nyon-St-Cergue et env.
Grèce;4;14;01.08.2021;Nyon-St-Cergue et env.
Hongkong;1;7;01.08.2021;Nyon-St-Cergue et env.
Hongrie;11;11;01.08.2021;Nyon-St-Cergue et env.
Inde;3;59;01.08.2021;Nyon-St-Cergue et env.
Irlande (Eire);7;17;01.08.2021;Nyon-St-Cergue et env.
Islande;2;8;01.08.2021;Nyon-St-Cergue et env.
Israël;16;40;01.08.2021;Nyon-St-Cergue et env.
Italie;133;308;01.08.2021;Nyon-St-Cergue et env.
Japon;3;7;01.08.2021;Nyon-St-Cergue et env.
Koweït;5;11;01.08.2021;Nyon-St-Cergue et env.
Lettonie;2;4;01.08.2021;Nyon-St-Cergue et env.
Liechtenstein;;;01.08.2021;Nyon-St-Cergue et env.
Lituanie;3;5;01.08.2021;Nyon-St-Cergue et env.
Luxembourg;35;60;01.08.2021;Nyon-St-Cergue et env.
Malte;2;2;01.08.2021;Nyon-St-Cergue et env.
Norvège;7;23;01.08.2021;Nyon-St-Cergue et env.
Nouvelle-Zélande, Océanie;;;01.08.2021;Nyon-St-Cergue et env.
Pays-Bas;199;579;01.08.2021;Nyon-St-Cergue et env.
Pologne;23;45;01.08.2021;Nyon-St-Cergue et env.
Portugal;16;47;01.08.2021;Nyon-St-Cergue et env.
République de Corée;;;01.08.2021;Nyon-St-Cergue et env.
République tchèque;14;25;01.08.2021;Nyon-St-Cergue et env.
Roumanie;11;74;01.08.2021;Nyon-St-Cergue et env.
Royaume-Uni;138;497;01.08.2021;Nyon-St-Cergue et env.
Russie;20;68;01.08.2021;Nyon-St-Cergue et env.
Serbie;2;12;01.08.2021;Nyon-St-Cergue et env.
Singapour;6;13;01.08.2021;Nyon-St-Cergue et env.
Slovaquie;4;10;01.08.2021;Nyon-St-Cergue et env.
Slovénie;7;14;01.08.2021;Nyon-St-Cergue et env.
Suède;13;20;01.08.2021;Nyon-St-Cergue et env.
Suisse;5328;10991;01.08.2021;Nyon-St-Cergue et env.
Thaïlande;2;2;01.08.2021;Nyon-St-Cergue et env.
Turquie;1;9;01.08.2021;Nyon-St-Cergue et env.
Ukraine;5;8;01.08.2021;Nyon-St-Cergue et env.
Allemagne;13;29;01.08.2021;Payerne et env.
Autres Afrique du Nord;;;01.08.2021;Payerne et env.
Autres Asie de l'Ouest;;;01.08.2021;Payerne et env.
Autres Europe;2;32;01.08.2021;Payerne et env.
Autriche;3;5;01.08.2021;Payerne et env.
Belgique;24;24;01.08.2021;Payerne et env.
Canada;2;2;01.08.2021;Payerne et env.
Chine (sans Hongkong);;;01.08.2021;Payerne et env.
Danemark;;;01.08.2021;Payerne et env.
Espagne;5;6;01.08.2021;Payerne et env.
France;42;55;01.08.2021;Payerne et env.
Irlande (Eire);2;2;01.08.2021;Payerne et env.
Italie;2;35;01.08.2021;Payerne et env.
Luxembourg;3;3;01.08.2021;Payerne et env.
Pays-Bas;6;10;01.08.2021;Payerne et env.
Portugal;5;5;01.08.2021;Payerne et env.
République tchèque;2;2;01.08.2021;Payerne et env.
Roumanie;;;01.08.2021;Payerne et env.
Royaume-Uni;6;16;01.08.2021;Payerne et env.
Slovénie;1;1;01.08.2021;Payerne et env.
Suisse;576;972;01.08.2021;Payerne et env.
Allemagne;47;96;01.08.2021;Vallée de Joux
Autriche;3;3;01.08.2021;Vallée de Joux
Belgique;18;26;01.08.2021;Vallée de Joux
Croatie;1;1;01.08.2021;Vallée de Joux
Espagne;1;1;01.08.2021;Vallée de Joux
Etats-Unis d'Amérique;2;2;01.08.2021;Vallée de Joux
France;157;242;01.08.2021;Vallée de Joux
Italie;12;28;01.08.2021;Vallée de Joux
Koweït;2;2;01.08.2021;Vallée de Joux
Liechtenstein;2;2;01.08.2021;Vallée de Joux
Luxembourg;3;3;01.08.2021;Vallée de Joux
Malte;;;01.08.2021;Vallée de Joux
Pays-Bas;9;10;01.08.2021;Vallée de Joux
Pologne;5;5;01.08.2021;Vallée de Joux
Roumanie;;;01.08.2021;Vallée de Joux
Royaume-Uni;12;12;01.08.2021;Vallée de Joux
Suisse;2416;4091;01.08.2021;Vallée de Joux
Allemagne;362;888;01.08.2021;Villars-Diablerets-Gryon-Bex
Arabie Saoudite;7;12;01.08.2021;Villars-Diablerets-Gryon-Bex
Australie;2;4;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Afrique;26;71;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Afrique du Nord;;;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Amérique centrale, Caraïbes;11;14;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Amérique du Sud;3;9;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Asie de l'Est;1;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Asie de l'Ouest;9;41;01.08.2021;Villars-Diablerets-Gryon-Bex
Autres Europe;21;245;01.08.2021;Villars-Diablerets-Gryon-Bex
Autriche;7;15;01.08.2021;Villars-Diablerets-Gryon-Bex
Belgique;131;709;01.08.2021;Villars-Diablerets-Gryon-Bex
Brésil;2;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Bulgarie;30;114;01.08.2021;Villars-Diablerets-Gryon-Bex
Canada;7;29;01.08.2021;Villars-Diablerets-Gryon-Bex
Chine (sans Hongkong);15;40;01.08.2021;Villars-Diablerets-Gryon-Bex
Danemark;;;01.08.2021;Villars-Diablerets-Gryon-Bex
Emirats Arabes Unis;6;39;01.08.2021;Villars-Diablerets-Gryon-Bex
Espagne;44;73;01.08.2021;Villars-Diablerets-Gryon-Bex
Estonie;5;17;01.08.2021;Villars-Diablerets-Gryon-Bex
Etats-Unis d'Amérique;80;291;01.08.2021;Villars-Diablerets-Gryon-Bex
France;1094;2404;01.08.2021;Villars-Diablerets-Gryon-Bex
Grèce;2;14;01.08.2021;Villars-Diablerets-Gryon-Bex
Hongkong;2;8;01.08.2021;Villars-Diablerets-Gryon-Bex
Hongrie;48;142;01.08.2021;Villars-Diablerets-Gryon-Bex
Inde;11;42;01.08.2021;Villars-Diablerets-Gryon-Bex
Irlande (Eire);2;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Israël;22;59;01.08.2021;Villars-Diablerets-Gryon-Bex
Italie;92;252;01.08.2021;Villars-Diablerets-Gryon-Bex
Japon;6;11;01.08.2021;Villars-Diablerets-Gryon-Bex
Koweït;18;90;01.08.2021;Villars-Diablerets-Gryon-Bex
Lettonie;2;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Liechtenstein;4;6;01.08.2021;Villars-Diablerets-Gryon-Bex
Lituanie;2;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Luxembourg;36;226;01.08.2021;Villars-Diablerets-Gryon-Bex
Malte;3;6;01.08.2021;Villars-Diablerets-Gryon-Bex
Mexique;52;94;01.08.2021;Villars-Diablerets-Gryon-Bex
Norvège;1;5;01.08.2021;Villars-Diablerets-Gryon-Bex
Pays-Bas;115;332;01.08.2021;Villars-Diablerets-Gryon-Bex
Pologne;11;17;01.08.2021;Villars-Diablerets-Gryon-Bex
Portugal;4;4;01.08.2021;Villars-Diablerets-Gryon-Bex
République tchèque;3;6;01.08.2021;Villars-Diablerets-Gryon-Bex
Roumanie;8;14;01.08.2021;Villars-Diablerets-Gryon-Bex
Royaume-Uni;56;103;01.08.2021;Villars-Diablerets-Gryon-Bex
Russie;15;25;01.08.2021;Villars-Diablerets-Gryon-Bex
Serbie;2;2;01.08.2021;Villars-Diablerets-Gryon-Bex
Singapour;1;1;01.08.2021;Villars-Diablerets-Gryon-Bex
Slovaquie;6;6;01.08.2021;Villars-Diablerets-Gryon-Bex
Suède;9;14;01.08.2021;Villars-Diablerets-Gryon-Bex
Suisse;8597;16681;01.08.2021;Villars-Diablerets-Gryon-Bex
Thaïlande;4;8;01.08.2021;Villars-Diablerets-Gryon-Bex
Turquie;7;15;01.08.2021;Villars-Diablerets-Gryon-Bex
Allemagne;299;547;01.08.2021;Yverdon-les-Bains Région
Autres Afrique;2;2;01.08.2021;Yverdon-les-Bains Région
Autres Afrique du Nord;2;2;01.08.2021;Yverdon-les-Bains Région
Autres Amérique centrale, Caraïbes;2;4;01.08.2021;Yverdon-les-Bains Région
Autres Amérique du Sud;1;1;01.08.2021;Yverdon-les-Bains Région
Autres Asie de l'Est;1;1;01.08.2021;Yverdon-les-Bains Région
Autres Asie de l'Ouest;;;01.08.2021;Yverdon-les-Bains Région
Autres Europe;2;8;01.08.2021;Yverdon-les-Bains Région
Autriche;28;47;01.08.2021;Yverdon-les-Bains Région
Belgique;72;159;01.08.2021;Yverdon-les-Bains Région
Brésil;;;01.08.2021;Yverdon-les-Bains Région
Bulgarie;;;01.08.2021;Yverdon-les-Bains Région
Canada;2;2;01.08.2021;Yverdon-les-Bains Région
Chine (sans Hongkong);9;17;01.08.2021;Yverdon-les-Bains Région
Chypre;1;2;01.08.2021;Yverdon-les-Bains Région
Croatie;;;01.08.2021;Yverdon-les-Bains Région
Danemark;5;33;01.08.2021;Yverdon-les-Bains Région
Emirats Arabes Unis;;;01.08.2021;Yverdon-les-Bains Région
Espagne;13;25;01.08.2021;Yverdon-les-Bains Région
Estonie;2;2;01.08.2021;Yverdon-les-Bains Région
Etats-Unis d'Amérique;21;42;01.08.2021;Yverdon-les-Bains Région
France;694;1399;01.08.2021;Yverdon-les-Bains Région
Grèce;1;1;01.08.2021;Yverdon-les-Bains Région
Inde;1;2;01.08.2021;Yverdon-les-Bains Région
Irlande (Eire);1;6;01.08.2021;Yverdon-les-Bains Région
Israël;6;12;01.08.2021;Yverdon-les-Bains Région
Italie;79;155;01.08.2021;Yverdon-les-Bains Région
Japon;6;30;01.08.2021;Yverdon-les-Bains Région
Liechtenstein;2;4;01.08.2021;Yverdon-les-Bains Région
Lituanie;4;8;01.08.2021;Yverdon-les-Bains Région
Luxembourg;6;10;01.08.2021;Yverdon-les-Bains Région
Malte;2;2;01.08.2021;Yverdon-les-Bains Région
Norvège;2;2;01.08.2021;Yverdon-les-Bains Région
Pays-Bas;48;68;01.08.2021;Yverdon-les-Bains Région
Pologne;2;2;01.08.2021;Yverdon-les-Bains Région
Portugal;1;2;01.08.2021;Yverdon-les-Bains Région
République tchèque;45;175;01.08.2021;Yverdon-les-Bains Région
Roumanie;3;3;01.08.2021;Yverdon-les-Bains Région
Royaume-Uni;16;28;01.08.2021;Yverdon-les-Bains Région
Russie;5;43;01.08.2021;Yverdon-les-Bains Région
Singapour;1;3;01.08.2021;Yverdon-les-Bains Région
Slovaquie;;;01.08.2021;Yverdon-les-Bains Région
Suède;7;14;01.08.2021;Yverdon-les-Bains Région
Suisse;7339;13721;01.08.2021;Yverdon-les-Bains Région
Thaïlande;2;6;01.08.2021;Yverdon-les-Bains Région
Turquie;2;2;01.08.2021;Yverdon-les-Bains Région
Ukraine;1;14;01.08.2021;Yverdon-les-Bains Région
Afrique du Sud;649;2050;01.09.2021;Suisse total
Allemagne;158717;359464;01.09.2021;Suisse total
Arabie Saoudite;8435;22513;01.09.2021;Suisse total
Argentine;450;1318;01.09.2021;Suisse total
Australie;686;1678;01.09.2021;Suisse total
Autres Afrique;1738;5103;01.09.2021;Suisse total
Autres Afrique du Nord;857;3759;01.09.2021;Suisse total
Autres Amérique centrale, Caraïbes;1192;2866;01.09.2021;Suisse total
Autres Amérique du Sud;1251;3272;01.09.2021;Suisse total
Autres Asie de l'Est;1290;3261;01.09.2021;Suisse total
Autres Asie de l'Ouest;1307;3878;01.09.2021;Suisse total
Autres Europe;3187;6767;01.09.2021;Suisse total
Autriche;15401;33727;01.09.2021;Suisse total
Bahreïn;317;797;01.09.2021;Suisse total
Belgique;15109;42383;01.09.2021;Suisse total
Biélorussie;206;503;01.09.2021;Suisse total
Brésil;7191;17554;01.09.2021;Suisse total
Bulgarie;1003;3222;01.09.2021;Suisse total
